"","title","comment_number","speaker","V1","index_words_start","index_words_end","index","negative","positive","sentiment","sum_sentiment","max","min","index_stan","speaker_viz","index_number"
"1","1_Wallace:","1","Wallace:","Wallace: Good evening from the Thomas and Mack Center at the University of Nevada, Las Vegas. I'm Chris Wallace of Fox News and I welcome you to the third and final of the 2016 presidential debates between secretary of state Hillary Clinton and Donald J. Trump. This debate is sponsored by the Commission on Presidential Debates. The commission has designed the format. Six roughly 15-minute segments, with two minute answers to the first question then open discussion for the rest of each segment. Both campaigns have agreed to those rules. For the record, I decided the topics and the questions in each topic. None of those questions has been shared with a commission or the two candidates. The audience here in the hall has promised to remain silent. No cheers, boos or other interruptions so we and you can focus on what the candidates have to say. No noise except right now as we welcome the Democratic nominee for president, secretary Clinton, and the Republican nominee for president, Mr. Trump.",1,71,1,2,4,2,2,1,1,100,0,1
"2","10_Wallace:","10","Wallace:","Wallace: Let me bring in secretary Clinton. Were you extremely upset?",457,461,10,1,0,-1,-1,10,1,100,0,2
"3","100_Clinton:","100","Clinton:","But it was a terrible recession. So now we've dug ourselves out of it. We're standing, but we're not yet running. So what I am proposing is that we invest from the middle out, and the ground up. Not the top down. That is not going to work. That is why what I have put forward doesn't add a penny to the debt. But it is the kind of approach that will enable more people to take those new jobs, higher paying jobs. We're beginning to see some increase in incomes. And we certainly have had a long string of increasing jobs. We have got to do more to get the whole economy moving and that's what I believe I will be able to do.",2146,2206,100,3,1,-2,-5,100,1,100,0,3
"4","100_Clinton:","100","Clinton:","Clinton: Well, it is a combination, Chris. Let me say that when you inherit the level of economic catastrophe that President Obama inherited, it was a real touch and go situation. I was in the Senate before I became secretary of state. I've never seen people as physically distraught as the Bush administration team was because of what was happening to the economy. I personally believe that the steps that President Obama took saved the economy. He doesn't get the credit he deserves for taking some very hard positions.",2146,2206,100,3,0,-3,-5,100,1,100,0,4
"5","101_Wallace:","101","Wallace:","Wallace: Mr. Trump, even conservative economists who have looked at your plan say that the numbers don't add up. That your idea, and you’ve talked about 25 million jobs created. 4% growth-",2207,2221,101,1,1,0,0,101,1,100,0,5
"6","103_Wallace:","103","Wallace:","Wallace: -- is unrealistic. And they say, you talk a lot about growing the energy industry. They say with oil prices as low as they are right now, that's unrealistic as well. Your response?",2224,2234,103,2,0,-2,-2,103,1,100,0,6
"7","104_Trump:","104","Trump:","Trump: So I just left some high representatives of India. They're growing at 8%. China is growing at 7%. And that for them is a catastrophically low number. We are growing our last report came out, and it is right around the 1% level. And I think it’s going down. Last week as you know, the end of last week, they came out with an anemic jobs report. A terrible jobs report. In fact, I said is that the last jobs report before the election? Because if it is, I should win easily because it was so bad. The report was so bad. Look, our country is stagnant. We've lost our jobs, we've lost our businesses. We're not making things anymore, relatively speaking. Our product is pouring in from China, pouring in from Vietnam, pouring in from all over the world. I've visited so many communities. This has been such an incredible education for me, Chris. I've gotten to know so many, I’ve developed so many friends over the last year. And they cry when they see what has happened. I pass factories that were thriving, 20, 25 years ago and because of the bill her husband signed and that she blessed 100%. It is just horrible what has happened to these people in these communities. Now, she can say her husband did well but boy, did they suffer as NAFTA kicked in because it didn't really kick in very much. But it kicked in after they left. Boy, did they suffer. That was one of the worst things that has ever been signed by our country. Now she wants to sign Trans-Pacific Partnership. And she wants it. She lied when she said she didn't call it the gold standard in one of the debates. She totally lied. She did call it the gold standard. And they actually fact checked and they said I was right.",2235,2333,104,15,5,-10,-10,104,1,100,0,7
"8","106_Trump:","106","Trump:","Trump: And that will be as bad as NAFTA.",2341,2342,106,1,0,-1,-1,106,1,100,0,8
"9","107_Clinton:","107","Clinton:","Clinton: Well, first, let me say, number one, when I saw the final agreement for TPP, I said I was against it. It didn't meet my test. I've had the same test. Does it create jobs, raise incomes and further our national security. I’m against it now. I’ll be against it after the election. I'll be against it when I'm president. There's only one of us on this stage who has actually shipped jobs to Mexico because that's Donald. He has shipped jobs to 12 countries including Mexico. But he mentioned China. And, you know, one of the biggest problems we have with China is the illegal dumping of steel and aluminum into our markets. I have fought against that as a senator. I have stood up against it as Secretary of State. Donald has bought Chinese steel and aluminum. In fact, the Trump Hotel right here in Las Vegas was made with Chinese steel. So he goes around with crocodile tears about how terrible it is. But he has given jobs to Chinese steelworkers, not American steelworkers. That's the kind of approach that is just not going to work. We're going to pull the country together. We're going to have trade agreements that we enforce. That's why I'm going to have a trade prosecutor for the first time in history. And we're going to enforce those agreements and we're going to look for businesses to help us by buying American products.",2343,2417,107,3,1,-2,-2,107,1,100,0,9
"10","108_Trump:","108","Trump:","Trump: Can I ask a simple question? She's been doing this for 30 years. Why the hell didn't you do it over the last 15, 20 years? You were very much involved.",2418,2424,108,1,0,-1,-1,108,1,100,0,10
"11","11_Clinton:","11","Clinton:","Clinton: Well, I was upset because unfortunately, dozens of toddlers injure themselves, even kill people with guns because unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions. But there is no doubt that I respect the second amendment. That I also believe there is an individual right to bear arms. That is not in conflict with sensible, common sense regulation. And you know, look. I understand that Donald has been strongly supported by the NRA, the gun lobby is on his side. They're running millions of dollars of ads against me and I regret that because what I would like to see is for people to come together and say, of course we're going to protect and defend the second amendment. But we're going to do it in a way that tries to save some of these 33,000 lives that we lose every year.",462,503,11,7,3,-4,-4,11,1,100,0,11
"12","110_Trump:","110","Trump:","Trump: Excuse me. My turn. You were very much involved in every aspect of this country. Very much. And you do have experience. I say the one thing you have over me is experience. But it is bad experience because what you've done has turned out badly. For 30 years you've been in a position to help. And if you say that I used steel or I used something else, I- make it impossible for me to do. I wouldn't mind. The problem is, you talk but you don't get anything done, Hillary. You don't. Just like when you ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State department. $6 billion was either stolen, they don't know. It’s gone. $6 billion. If you become president, this country is going to be in some mess. Believe me.",2426,2460,110,7,0,-7,-7,110,1,100,0,12
"13","111_Clinton:","111","Clinton:","Clinton: Well, first of all, what he just said about the State Department is not only untrue, it’s been debunked numerous times. but I think it's really an important issue. He raised the 30 years of experience, so let me just talk briefly about that. You know, back in the 1970s, I worked for the children's defense fund and I was taking on discrimination against African-American kids in schools. He was getting sued by the Justice Department for racial discrimination in his apartment buildings. In the 1980s, I was working to reform the schools in Arkansas. He was borrowing $14 million from his father to start his businesses. In the 1990s, I went to Beijing and I said women's rights are human rights. He insulted a former Miss Universe, Alicia Machado, and called her an eating machine.",2461,2513,111,7,1,-6,-6,111,1,100,0,13
"14","112_Trump:","112","Trump:","Trump: Give me a break.",2514,2514,112,1,0,-1,-1,112,1,100,0,14
"15","113_Clinton:","113","Clinton:","Clinton: And on the day when I was in the situation room monitoring the raid that brought Osama bin laden to justice, he was hosting The Celebrity Apprentice. So I’m happy to compare my 30 years of experience, what I’ve done for this country, trying to help in every way I could, especially kids and families, get ahead and stay ahead, with your thirty years and I'll let the American people make that decision.",2515,2542,113,0,1,1,1,113,1,100,0,15
"16","114_Trump:","114","Trump:","Trump: Well I think I did a much better job. I built a massive company, a great company, some of the greatest assets anywhere in the world worth many, many billions of dollars. I started with a $1 million loan. I agree with that. It's a $1 million loan, but I built a phenomenal company. And if we could run our country the way I've run my company, we would have a country that would you would be so proud of, you would even be proud of it. And frankly, when you look at her real record, take a look at Syria, take a look at the migration, take a look at Libya, take a look at Iraq. She gave us ISIS because her and Obama created this huge vacuum, and a small group came out of that huge vacuum because, we should have never been in Iraq, but once we were there, we should have never got out the way they wanted to get out. She gave us ISIS as sure as you are sitting there. And what happened is now ISIS is in 32 countries. Now I listen to how she's going to get rid of ISIS. She's going to get to rid of nobody.",2543,2595,114,0,4,4,4,114,1,100,0,16
"17","115_Wallace:","115","Wallace:","Wallace: We're going to get to foreign hot spots in a few moments, but the next segment is fitness to be president of the United States. Mr. Trump, at the last debate, you said your talk about grabbing women was just that, talk, and that you'd never actually done it. And since then, as we all know, nine women have come forward and said that you either groped them or kissed them without their consent. Why would so many different women from so many different circumstances over so many different years, why would they all in this last couple of weeks make up -- you deny this. Why would they make up these stories? And since this is a question for both of you, secretary Clinton, Mr. Trump says what your husband did and what you defended was even worse. Mr. Trump, you go first.",2596,2628,115,2,4,2,2,115,1,100,0,17
"18","116_Trump:","116","Trump:","Trump: Well, first of all, those stories have been largely debunked. Those people, I don't know those people. I have a feeling how they came. I believe it was her campaign that did it just like if you look at what came out today on the clips where I was wondering what happened with my rally in Chicago and other rallies where we had such violence. She's the one and Obama that caused the violence. They hired people. They paid them $1500, and they're on tape saying be violent, cause fights, do bad things. I would say the only way -- because those stories are all totally false. I have to say that, and I didn't even apologize to my wife who is sitting right here because I didn't do anything. I didn't know any of these women. I didn't see these women. These women, the woman on the plane, the woman on the - I think they want either fame or her campaign did it. And I think it's her campaign because what I saw what they did, which is a criminal act, by the way, where they're telling people to go out and start fistfights and start violence -- and I'll tell you what. In particular, in Chicago, people were hurt and people could have killed in that riot. And that's now all on tape started by her. I believe, Chris, she got these people to step forward. If it wasn't, they get their ten minutes of fame, but they were all totally -- it was all fiction. It was lies and it was fiction.",2629,2694,116,9,2,-7,-7,116,1,100,0,18
"19","119_Clinton:","119","Clinton:","Clinton: At the last debate, we heard Donald talking about what he did to women, and after that a number of women have come forward saying that's exactly what he did to them. Now, what was his response? Well, he held a number of big rallies where he said that he could not possibly have done those things to those women because they were not attractive enough for –",2697,2709,119,0,1,1,1,119,1,100,0,19
"20","12_Wallace:","12","Wallace:","Wallace: Let me bring Mr. Trump back into this because in fact, you oppose any limits on assault weapons, any limits on high capacity magazines. You support a national right-to-carry law. Why, sir?",504,517,12,4,2,-2,-2,12,1,100,0,20
"21","127_Clinton:","127","Clinton:","Clinton: He went on to say “look at her, I don’t think so.” About another woman, he said “that wouldn't be my first choice.” He attacked the woman reporter writing the story, called her disgusting, as he has called a number of women during this campaign. Donald thinks belittling women makes him bigger. He goes after their dignity, their self-worth, and I don't think there is a woman anywhere that doesn't know what that feels like. So we now know what Donald thinks and what he says and how he acts toward women. That's who Donald is. I think it's really up to all of us to demonstrate who we are and who our country is and to stand up and be very clear about what we expect from our next president, how we want to bring our country together, where we don't want to have the kind of pitting of people one against the other, where instead we celebrate our diversity, we lift people up, and we make our country even greater. America is great because America is good. And it really is up to all of us to make that true now and in the future and particularly for our children and our grandchildren.",2715,2760,127,2,3,1,1,127,1,100,0,21
"22","128_Wallace:","128","Wallace:","Wallace: Mr. Trump --",2761,2761,128,0,1,1,1,128,1,100,0,22
"23","129_Trump:","129","Trump:","Trump: Nobody has more respect for women than I do. Nobody.",2762,2764,129,0,1,1,1,129,1,100,0,23
"24","13_Trump:","13","Trump:","Trump: Well, let me just tell you before we go any further, in Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city. So we have the toughest laws and you have tremendous gun violence. I am a very strong supporter of the second amendment. And I don't know if Hillary was saying it in a sarcastic manner but I'm very proud to have the endorsement of the NRA and it was the earliest endorsement they've ever given to anybody who ran for president. So I'm very honored by all of that. We are going to appoint justices, this is the best way to help the second amendment. We are going to appoint justices that will feel very strongly about the second amendment. That will not do damage to the second amendment.",518,554,13,2,8,6,6,13,1,100,0,24
"25","131_Trump:","131","Trump:","Trump: And frankly, those stories have been largely debunked. And I really want to just talk about something slightly different. She mentions this, which is all fiction, all fictionalized, probably or possibly started by her and her very sleazy campaign. But I will tell you what isn't fictionalized are her e-mails where she destroyed 33,000 e-mails criminally, criminally after getting a subpoena from the United States Congress. What happened to the FBI, I don't know. We have a great general, four-star general, today you read it in all the papers going to potentially serve five years in jail for lying to the FBI, one lie. She's lied hundreds of times to the people, to Congress, and to the FBI. He's going to probably go to jail. This is a four-star general, and she gets away with it and she can run for the presidency of the United States? That's really what you should be talking about, not fiction where somebody wants fame or where they come out of her crooked campaign.",2765,2813,131,8,1,-7,-7,131,1,100,0,25
"26","133_Clinton:","133","Clinton:","Clinton: Well, every time Donald is pushed on something, which is obviously uncomfortable like what these women are saying, he immediately goes to denying responsibility and it's not just about women. He never apologizes or says he's sorry for anything, so we know what he has said and what he's done to women. But he also went after a disabled reporter, mocked and mimicked him on national television.",2816,2832,133,4,0,-4,-4,133,1,100,0,26
"27","134_Trump:","134","Trump:","Trump: Wrong.",2833,2833,134,1,0,-1,-1,134,1,100,0,27
"28","135_Clinton:","135","Clinton:","Clinton: He went after Mr. And Mrs. Khan, the parents of a young man who died serving our country, a gold star family because of their religion. He went after John McCain, a prisoner of war, said he prefers people that aren't captured. He went after a federal judge born in Indiana but who Donald said couldn't be trusted to try the fraud and racketeering case against Trump University because his parents were Mexican. So it's not one thing. This is a pattern, a pattern of divisiveness, of a very dark and in many ways dangerous vision of our country where he incites violence, where he applauds people who are pushing and pulling and punching at his rallies. That is not who America is, and I hope that as we move in the last weeks of this campaign more and more people will understand what's at stake in this election. It really does come down to what kind of country we are going to have.",2834,2886,135,6,4,-2,-2,135,1,100,0,28
"29","136_Trump:","136","Trump:","Trump: So sad when she talks about violence at my rallies and she caused the violence. It's on tape. The other things are false, but honestly I'd love to talk about getting rid of ISIS and I'd love to talk about other things.",2887,2901,136,2,2,0,0,136,1,100,0,29
"30","138_Trump:","138","Trump:","Trump: But those other charges, as she knows, are false.",2902,2903,138,1,0,-1,-1,138,1,100,0,30
"31","139_Wallace:","139","Wallace:","Wallace: In this bucket about fitness to be president there's been a lot of developments over the last ten days since the last debate. I'd like to ask you about them. These are questions that the American people have. Secretary Clinton, during your 2009 Senate confirmation hearing you promised to avoid even the appearance of a conflict of interest with your dealing with the Clinton Foundation while you were secretary of state, but e-mails show that donors got speciall access to you, those seeking grants for Haiti relief separately from non-donors and some of those donors got contracts, government contracts, taxpayer money. Can you really say you've kept your pledge to that Senate committee and why isn’t what happened and what went on and between you and the Clinton Foundation? Why isn't it what Mr. Trump calls pay-to-play?",2904,2955,139,1,3,2,2,139,1,100,0,31
"32","14_Wallace:","14","Wallace:","Wallace: Well, let's pick up on another issue which divides you, and the justices that, whoever ends up winning this election appoints, could have a dramatic effect there. That's the issue of abortion. Mr. Trump, you're pro-life. And I want to ask you specifically. Do you want the court, including the justices that you will name, to overturn Roe v. Wade, which includes, in fact, states a woman's right to abortion.",555,578,14,3,2,-1,-1,14,1,100,0,32
"33","140_Clinton:","140","Clinton:","Clinton: Well, everything I did as secretary of state was in furtherance of our country's interests and our values. The state department has said that. I think that's been proven, but I am happy -- in fact, I'm thrilled to talk about the Clinton Foundation because it is a world renowned charity and I'm so proud of the work that it does. I could talk for the rest of the debate. I know I don't have the time to do that, but just briefly the Clinton Foundation made it possible for 11 million people around the world with HIV AIDS to afford treatment and that's about half of all the people in the world that are getting treatment in partnership with the American health association.",2956,2993,140,0,6,6,6,140,1,100,0,33
"34","141_Wallace:","141","Wallace:","Wallace: Secretary Clinton, respectfully, this is an open discussion.",2994,2997,141,0,1,1,1,141,1,100,0,34
"35","145_Trump:","145","Trump:","Trump: And it's a criminal enterprise --",3005,3006,145,1,0,-1,-1,145,1,100,0,35
"36","146_Wallace:","146","Wallace:","Wallace: Please let Mr. Trump speak.",3007,3008,146,0,1,1,1,146,1,100,0,36
"37","147_Trump:","147","Trump:","Trump: It's a criminal enterprise. Saudi Arabia given $25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business, off buildings. These are people that kill women and treat women horribly and yet you take their money. So I'd like to ask you right now why don't you give back the money that you've taken from certain countries that treat certain groups of people so horribly? Why don’t you give back the money? I think it would be a great gesture because she takes a tremendous amount of money. And you take a look at the people of Haiti. I was in Little Haiti the other day in Florida, and I want to tell you they hate the Clintons because what's happened in Haiti with the Clinton Foundation is a disgrace. And you know it and they know it and everybody knows it.",3009,3056,147,4,0,-4,-4,147,1,100,0,37
"38","149_Clinton:","149","Clinton:","Clinton: Well, very quickly, we at the Clinton Foundation spend 90%, 90%, of all the money that is donated on behalf of programs for people around the world and in our own country. I’m very proud of that. We have the highest rating from the watchdogs that follow foundations. And I would be happy to compare what we do with the Trump Foundation which took money from other people and bought a six-foot portrait of Donald. I mean, who does that? I mean, it just was astonishing. But when it comes to Haiti, Haiti is the poorest country in our hemisphere. The earthquake and the hurricanes, it has devastated Haiti. Bill and I have been involved in trying to help Haiti for many years. The Clinton Foundation raised $30 million to help Haiti after the catastrophic earthquake and all of the terrible problems the people there had. We've done things to help small businesses, agriculture, and so much else. And we're going to keep working to help Haiti because it is an important part of the American experience.",3059,3115,149,4,4,0,0,149,1,100,0,38
"39","150_Trump:","150","Trump:","Trump: I don't want you to help them anymore. I'd like to mention one thing. Trump Foundation, small foundation. People contribute. I contribute. The money goes, 100%, 100% goes to different charities, including a lot of military. I don’t get anything. I don't buy boats. I don't buy planes.",3116,3135,150,0,1,1,1,150,1,100,0,39
"40","153_Wallace:","153","Wallace:","Wallace: There was a penalty that was imposed by Palm Beach county --",3149,3153,153,1,0,-1,-1,153,1,100,0,40
"41","154_Trump:","154","Trump:","Trump: There was, there was and by the way, the money went to fisher house where they build houses, the money that you're talking about went to fisher house where they build houses for veterans and disabled veterans.",3154,3167,154,1,0,-1,-1,154,1,100,0,41
"42","155_Clinton:","155","Clinton:","Clinton: Of course, there's no way we can know whether any of that is true because he hasn't released his tax returns. He's the first candidate ever to run for president in the last 40-plus years who has not released his tax returns. So everything he says about charity or anything else, we can't prove it. You can look at our tax returns. We’ve got them all out there. What is really troubling is that we learned in the last debate he has not paid a penny in federal income tax. And we were talking about immigrants a few minutes ago, Chris. Half of all undocumented immigrants actually pay federal income tax. So we have undocumented immigrants in America who are paying more federal income tax than a billionaire. I find that just astonishing.",3168,3212,155,3,1,-2,-2,155,1,100,0,42
"43","157_Wallace:","157","Wallace:","Wallace: Mr. Trump --",3232,3232,157,0,1,1,1,157,1,100,0,43
"44","159_Wallace:","159","Wallace:","Wallace: Mr. Trump --",3236,3236,159,0,1,1,1,159,1,100,0,44
"45","162_Trump:","162","Trump:","Trump: -- because your donors and special interests are doing the same thing as I do except even more so. You should have changed the law, but you won't change the law because you take in so much money. I sat in my apartment today on a very beautiful hotel down the street.",3244,3255,162,0,1,1,1,162,1,100,0,45
"46","164_Trump:","164","Trump:","Trump: I will tell you I sat there. I sat there watching ad after ad after ad, all false ads, all paid for by your friends on Wall Street that gave so much money because they know you're going to protect them. And frankly, you should have changed the laws. If you don't like what I did, you should have changed the laws.",3258,3276,164,1,1,0,0,164,1,100,0,46
"47","165_Wallace:","165","Wallace:","Wallace: Mr. Trump, I want to ask you about one last question in this topic. You've been warning at rallies recently that this election is rigged and that Hillary Clinton is in the process of trying to steal it from you. Your running mate Governor Pence pledged on Sunday that he and you, his words, will absolutely accept the result of this election. Today your daughter Ivanka said the same thing. I want to ask you here on the stage tonight, do you make the same commitment that you'll absolutely accept the result of the election.",3277,3308,165,2,2,0,0,165,1,100,0,47
"48","166_Trump:","166","Trump:","Trump: I will look at it at the time. I’m not looking at anything now, I'll look at it at the time. What I've seen, what I’ve seen, is so bad. First of all, the media is so dishonest and so corrupt and the pile on is so amazing. ""The New York Times"" actually wrote an article about it, but they don't even care. It is so dishonest, and they have poisoned the minds of the voters. But unfortunately for them, I think the voters are seeing through it. I think they’re going to see through it, we’ll find out on November 8th, but I think they’re going to see through it. If you look --",3309,3333,166,4,1,-3,-3,166,1,100,0,48
"49","168_Trump:","168","Trump:","Trump: Excuse me, Chris. If you look at your voter rolls, you will see millions of people that are registered to vote. Millions. This isn't coming from me. This is coming from Pew report and other places. Millions of people that are registered to vote that shouldn't be registered to vote. So let me just give you one other thing. I talk about the corrupt media. I talk about the millions of people. I'll tell you one other thing. She shouldn't be allowed to run. It’s -- She's guilty of a very, very serious crime. She should not be allowed to run, and just in that respect I say it's rigged because she should never --",3334,3367,168,4,1,-3,-3,168,1,100,0,49
"50","171_Wallace:","171","Wallace:","Wallace: But, sir, there is a tradition in this country, in fact, one of the prides of this country is the peaceful transition of power and no matter how hard fought a campaign is that at the end of the campaign, that the loser concedes to the winner. Not saying you're necessarily going to be the loser or the winner, but that the loser concedes to the winner and the country comes together in part for the good of the country. Are you saying you're not prepared now to commit to that principle?",3374,3400,171,4,4,0,0,171,1,100,0,50
"51","173_Clinton:","173","Clinton:","Clinton: Well Chris, let me respond to that because that’s horrifying. You know, every time Donald thinks things aren't going in his direction, he claims whatever it is, is rigged against him. The FBI conducted a yearlong investigation into my e-mails. They concluded there was no case. He said the FBI was rigged. He lost the Iowa caucus, he lost the Wisconsin primary, he said the Republican primary was rigged against him. Then, Trump University gets sued for fraud and racketeering. He claims the court system and the federal judge is rigged against him. There was even a time when he didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged against him.",3404,3449,173,5,1,-4,-4,173,1,100,0,51
"52","175_Clinton:","175","Clinton:","Clinton: This is a mind-set. This is how Donald thinks, and it's funny, but it's also really troubling. That is not the way our democracy works. We've been around for 240 years. We've had free and fair elections. We've accepted the outcomes when we may not have liked them, and that is what must be expected of anyone standing on a debate stage during a general election. You know, President Obama said the other day when you're whining before the game is even finished--",3451,3474,175,3,2,-1,-1,175,1,100,0,52
"53","177_Clinton:","177","Clinton:","Clinton:-- It just shows you're not up to doing the job. And let's be clear about what he's saying and what that means. He's denigrating, he is talking down our democracy. And I, for one, am appalled that somebody who is the nominee of one of our two major parties would take that kind of position.",3477,3486,177,1,0,-1,-1,177,1,100,0,53
"54","178_Trump:","178","Trump:","Trump: I think what the FBI did and what the Department of Justice did, including meeting with her husband, the Attorney General, in the back of an airplane on the tarmac in Arizona, I think it's disgraceful. I think it's a disgrace.",3487,3498,178,2,0,-2,-2,178,1,100,0,54
"55","18_Wallace:","18","Wallace:","Wallace: But what I'm asking you, do you want to see the court overturn it? You just said you want to see the court protect the second amendment, do you want to see the court overturn-",589,595,18,2,1,-1,-1,18,1,100,0,55
"56","180_Trump:","180","Trump:","Trump: I think we've never had a situation so bad",3499,3501,180,1,0,-1,-1,180,1,100,0,56
